                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.1015,                0.86902,                0.98062,                0.95035,                0.77778,                0.84834,                0.65038,                0.95277,                0.94628,                0.91172,               0.001585,               0.001585,               0.001585
                     87,                0.93845,                0.76007,                0.93103,                0.95035,                0.77778,                0.84834,                0.65038,                0.95277,                0.94628,                0.91172,               0.001486,               0.001486,               0.001486
                     88,                0.93001,                0.68455,                0.95404,                0.97102,                0.77778,                0.84574,                0.64045,                0.92787,                0.96884,                0.92727,               0.001387,               0.001387,               0.001387
                     89,                0.96828,                0.78799,                0.97248,                0.97102,                0.77778,                0.84574,                0.64045,                0.92787,                0.96884,                0.92727,               0.001288,               0.001288,               0.001288
                     90,                0.83899,                0.67499,                0.91975,                0.96838,                0.75081,                0.84333,                0.65154,                0.92812,                0.97109,                0.92628,               0.001189,               0.001189,               0.001189
                     91,                0.93686,                 1.0282,                0.95735,                0.96838,                0.75081,                0.84333,                0.65154,                0.92812,                0.97109,                0.92628,                0.00109,                0.00109,                0.00109
                     92,                0.85479,                   1.01,                0.93356,                0.96377,                0.72222,                0.79844,                0.61557,                0.96388,                0.96816,                0.91899,               0.000991,               0.000991,               0.000991
                     93,                0.89161,                 1.0674,                0.90794,                0.96377,                0.72222,                0.79844,                0.61557,                0.96388,                0.96816,                0.91899,               0.000892,               0.000892,               0.000892
                     94,                0.91298,                0.98072,                0.95531,                0.93012,                0.72222,                0.78278,                0.60452,                 1.0171,                0.97969,                0.92025,               0.000793,               0.000793,               0.000793
                     95,                 1.0287,                 1.0018,                0.93663,                0.93012,                0.72222,                0.78278,                0.60452,                 1.0171,                0.97969,                0.92025,               0.000694,               0.000694,               0.000694
                     96,                0.97847,                0.94415,                 0.9453,                0.95079,                0.72222,                0.78176,                0.60142,                 1.0487,                0.99981,                0.92213,               0.000595,               0.000595,               0.000595
                     97,                0.96319,                0.79907,                0.91997,                0.95079,                0.72222,                0.78176,                0.60142,                 1.0487,                0.99981,                0.92213,               0.000496,               0.000496,               0.000496
                     98,                 0.9693,                0.77349,                0.96321,                0.95775,                0.71833,                0.78348,                0.59181,                  1.048,                0.99618,                0.91639,               0.000397,               0.000397,               0.000397
                     99,                0.97817,                0.74212,                0.94735,                0.95775,                0.71833,                0.78348,                0.59181,                  1.048,                0.99618,                0.91639,               0.000298,               0.000298,               0.000298
                    100,                0.86876,                0.71917,                0.92303,                0.95197,                0.72222,                0.79213,                0.61063,                   1.04,                0.97565,                0.91318,               0.000199,               0.000199,               0.000199
